Symptoms,Disease
A lump or growth on the penis swollen lymph nodes in the groin foul-smelling discharge persistent itching or burning bleeding sores that do not heal,Penile Cancer
difficulty starting or stopping urine flow lower back or hip pain blood in urine or semen in some cases no symptoms in early stages,Prostate Cancer
difficulty concentrating dizziness Headaches irritability fatigue memory problems sleep disturbances blurred vision mood changes such as anxiety or depression sensitivity to light or noise,Post-Concussion Syndrome (PCS)
cough mild fever post-nasal drip sneezing watery eyes sore throat body aches,Common cold
sore throat sometimes vomiting or diarrhea headache muscle aches dry cough fatigue High fever,Influenza
abdominal pain urgency to pass stool Chronic diarrhea weight loss,Inflammatory Bowel Disease (IBD)
No specific symptoms; this is a routine screening process during pregnancy to check for chromosomal abnormalities such as Down syndrome (Trisomy 21) Edwards syndrome (Trisomy 18) Patau syndrome (Trisomy 13),Prenatal Aneuploidy Screening (First Trimester)
pain or discomfort especially when bending or lifting heaviness or pressure in the abdomen or groin Visible or palpable bulge under the skin sharp pain during exertion,Hernia
excessive hunger unexplained weight loss,Diabetes
stiffness Shoulder pain,Frozen Shoulder
dizziness abdominal pain Dark vomiting tar-like stools,Black Stools
dizziness fatigue rapid or irregular heartbeat Shortness of breath fainting reduced ability to exercise swelling in legs or ankles,Cardiomyopathy
foul smell weakness Dark dizziness,Black Stools
vision or hearing changes seizures weakness in limbs Persistent headaches loss of balance,Brain Tumours
sore throat muscle or joint pain dizziness unrefreshing sleep worsening of symptoms after physical or mental activity swollen lymph nodes,Chronic Fatigue Syndrome (CFS)
confusion or disorientation rapid breathing rapid heartbeat symptoms of severe infection clammy skin extreme weakness,Septic Shock
Wheezing smoke chest tightness shortness of breath persistent cough especially at night or early morning or exercise,Asthma
discomfort while sitting mucus discharge bleeding after passing stool itching or irritation around the anus,Piles
Sharp pain during or after bowel movements a visible small tear near the anus burning sensation itching,Anal Fissures
reduced concentration weakness shortness of breath on exertion Fatigue dizziness,Iron Deficiency Anemia
severe cramping very heavy periods Bleeding between periods prolonged menstrual bleeding passing large clots irregular cycles bleeding after sex or menopause,Abnormal Uterine Bleeding
unexplained weight loss muscle aches night sweats sore throat,HIV
sore throat muscle aches sometimes vomiting or diarrhea High fever chills fatigue runny or stuffy nose headache dry cough,Influenza
Persistent upper abdominal or back pain fatigue jaundice new-onset diabetes digestive problems such as bloating or indigestion dark urine unexplained weight loss loss of appetite pale stools,Pancreatic Cancer
frequent urination burning sensation while urinating Cloudy or gritty urine sometimes no symptoms unless crystals form stones,Crystals in Urine
changes in skin color or thickness A lump or growth on the penis bleeding foul-smelling discharge swollen lymph nodes in the groin persistent itching or burning sores that do not heal,Penile Cancer
persistent pain legs,Soft Tissue Sarcomas in Teenagers and Young Adults
poor judgment difficulty thinking or problem-solving trouble with communication,Dementia
chest discomfort mucus production fever wheezing,Lower Respiratory Tract Infection (LRTI)
pain when chewing sensitivity to hot or cold foods,Cavities
nausea wheezing fatigue unexplained weight loss flushing of the skin Abdominal pain diarrhea hormonal symptoms like rapid heartbeat or sweating,Neuroendocrine Tumours (NETs)
chest discomfort Often no symptoms fatigue blurred vision dizziness,High Blood Pressure (Hypertension)
slow healing pain foul smell in infected ulcers redness Open sore on the skin fluid discharge surrounding skin tenderness swelling,Skin Ulcer
reduced range of motion shoulder or back pain tenderness in the neck area headaches Neck pain muscle spasms,Neck Injury
Fatigue shortness of breath on exertion weakness,Iron Deficiency Anemia
dizziness sudden vision problems difficulty speaking or understanding speech severe headache,Stroke
discomfort worsening on bending forward Left-sided eye pain pain around the left frontal region pressure or heaviness around the forehead possible nasal congestion mild headache,Frontal Sinusitis
difficulty swallowing cracking at the corners of the mouth burning sensation,Oral Thrush in Adults
repetitive questions confusion disorientation inability to form new memories in some cases emotional distress or changes in behavior Memory loss difficulty recalling recent events,Amnesia
sleep disturbances soft or slurred speech fatigue muscle stiffness mood changes such as depression or anxiety reduced facial expressions,Parkinson’s Disease
swollen tonsils difficulty swallowing,Tonsil Stones
balance problems mood changes such as depression or anxiety fatigue Tremors at rest,Parkinson’s Disease
frequent infections high calcium levels weakness numbness in legs fatigue Bone pain weight loss anemia,Multiple Myeloma
sleep disturbances mood changes such as anxiety or depression Headaches,Post-Concussion Syndrome (PCS)
Difficulty falling asleep poor concentration daytime fatigue waking too early waking up frequently at night feeling unrefreshed after sleep irritability,Insomnia
seeing floaters or shadows visual field loss sudden difficulty focusing,Eye Stroke
trouble concentrating nightmares Flashbacks emotional numbness negative mood changes,Post-Traumatic Stress Disorder (PTSD)
abdominal discomfort weakness Often no symptoms; when present may include fatigue in advanced stages jaundice or swelling,Non-Alcoholic Fatty Liver Disease (NAFLD)
abdominal pain joint pain yellowing of skin or eyes (jaundice) fever pale stools vomiting Fatigue,Hepatitis
night sweats weight loss coughing up blood chest pain loss of appetite fever Persistent cough for more than 2–3 weeks fatigue,Tuberculosis
Fatigue shortness of breath feet dizziness cold hands pale skin headaches,Iron Deficiency Anaemia
frequent urge to urinate vomiting sharp pain radiating to the lower abdomen or groin painful urination Severe flank or back pain,Kidney Stones
needing to sit closer to screens or books headaches difficulty driving or seeing classroom boards Blurred distance vision squinting to see far objects eye strain,Myopia (Nearsightedness)
No specific symptoms; this is a routine screening process during pregnancy to check for chromosomal abnormalities such as Down syndrome (Trisomy 21) Edwards syndrome (Trisomy 18),Prenatal Aneuploidy Screening (First Trimester)
nervousness heat intolerance muscle weakness,Overactive Thyroid (Hyperthyroidism)
stress thickened or cracked skin,Atopic Eczema
unrefreshing sleep headaches worsening of symptoms after physical or mental activity muscle or joint pain memory or concentration problems dizziness swollen lymph nodes Persistent severe fatigue lasting more than 6 months sore throat,Chronic Fatigue Syndrome (CFS)
scaly patches on the skin silvery-white flakes thickened nails flaky scales on the scalp causing itching or dandruff-like appearance itching burning sensation,Skin and Scalp Psoriasis
discomfort while sitting Pain during bowel movements,Piles
pain when leaning back tenderness around the tailbone swelling discomfort when sitting Pain at the base of the spine increased pain during activities like standing up from sitting or using the toilet,Tailbone Pain
cracking or peeling skin small bumps or blisters Red in some cases foul odor in moist areas itchy,Fungal Skin Infections
bloating fullness in the abdomen Lower abdominal or pelvic pain painful periods frequent urination pain during intercourse,Ovarian Cyst
Facial redness eye irritation visible blood vessels,Rosacea
fainting symptoms of early pregnancy such as missed period or nausea dizziness vaginal bleeding,Ectopic Pregnancy
confusion fast heartbeat hunger Shakiness dizziness sweating headache weakness irritability,Hypoglycaemia
decreased fetal movements severe abdominal or back pain,Late Miscarriage
diarrhea rumbling sounds in the stomach discomfort after consuming milk or dairy products gas abdominal cramps,Lactose Intolerance
tenderness in the neck area headaches reduced range of motion shoulder or back pain stiffness numbness or tingling in arms,Neck Injury
difficulty with physical activity rapid weight gain breathlessness Excess body weight low energy,Obesity in Children
headache hot dry skin or heavy sweating vomiting,Heatstroke and Heat Illness
or exercise chest tightness smoke Wheezing difficulty breathing during triggers like dust,Asthma
drowsiness rash in some cases sensitivity to light vomiting,Meningitis
rapid heartbeat trouble sleeping sweating Excessive worry restlessness feeling a sense of impending danger or panic difficulty concentrating irritability racing thoughts trembling,Mental Anxiety Disorder
kidney stones back or side pain enlarged abdomen High blood pressure blood in urine,Polycystic Kidney Disease
Joint pain swelling swollen fingers or toes (dactylitis) stiffness morning stiffness tenderness,Psoriatic Arthritis
cracking or peeling skin small bumps or blisters Red in some cases foul odor in moist areas burning sensation,Fungal Skin Infections
hallucinations disturbed sleep cycle agitation memory problems restlessness Sudden confusion,Delirium
spotting between periods light bleeding at the start or end of a period,Brown Discharge
or whole body depending on the cause dry or scaly skin blisters rashes that may appear on the face neck itching,Skin Rashes in Children
discomfort during movement stiffness in the back muscles reduced flexibility,Muscular Back Strain
Persistent nasal blockage facial pain or pressure swelling around the eyes double vision headaches loose teeth nosebleeds,Nasal and Sinus Cancer
Difficulty with social interaction sensitivity to lights or sounds delayed speech or communication challenges,Autism
chest discomfort shortness of breath lightheadedness fatigue Irregular or rapid heartbeat sometimes no symptoms at all palpitations,Atrial Fibrillation
throat muscles Drooping eyelids difficulty swallowing,Oculopharyngeal Muscular Dystrophy (OPMD)
burning sensation in the stomach gas belching Upper abdominal discomfort,Indigestion
watery eyes headache Runny/stuffy nose fatigue mild fever sore throat,Common cold
gas Bloating nausea,Lactose Intolerance
mood changes Memory loss poor judgment,Alzheimer’s Disease
foul taste in mouth bad breath fever or neck,Dental Abscess
enlarged abdomen High blood pressure kidney stones,Polycystic Kidney Disease
dizziness blurred vision difficulty concentrating,Post-Concussion Syndrome (PCS)
headaches swelling around the eyes,Nasal and Sinus Cancer
headache difficulty swallowing anxiety tingling or burning at the bite site Fever weakness fear of water coma in later stages paralysis,Rabies
Runny/stuffy nose cough post-nasal drip,Common cold
poor judgment confusion about time or place,Alzheimer’s Disease
throat muscles difficulty swallowing Drooping eyelids limb weakness in later stages progressive weakness in eyelid,Oculopharyngeal Muscular Dystrophy (OPMD)
loose teeth receding gums bleeding while brushing,Gum Disease
wrists genital area especially at night rash in finger webs small red bumps or blisters waist,Scabies
Fatigue dizziness headache pale skin,Iron Deficiency Anemia
Persistent cough for more than 2–3 weeks fatigue loss of appetite coughing up blood,Tuberculosis
difficulty breathing weakness thick gray or white coating on the throat or tonsils swollen glands,Diphtheria
mild abdominal pain belching,Indigestion
fever frequent infections fatigue abdominal pain or swelling,Non-Hodgkin Lymphoma in Children
fatigue blurred vision sometimes fruity-smelling breath or confusion in severe cases Increased thirst dry mouth headache frequent urination nausea,Hyperglycaemia
paralysis confusion anxiety headache muscle spasms excessive salivation,Rabies
Usually no symptoms; in severe cases may cause xanthomas chest pain or signs of cardiovascular disease,High Cholesterol
or brown discoloration of semen sometimes no symptoms at all,Blood in Semen
choking while eating progressive weakness in eyelid Drooping eyelids limb weakness in later stages nasal-sounding voice,Oculopharyngeal Muscular Dystrophy (OPMD)
nausea weakness shortness of breath on exertion pale skin headache reduced concentration dizziness Fatigue,Iron Deficiency Anemia
limited eye contact delayed speech or communication challenges sensitivity to lights or sounds restricted interests Difficulty with social interaction repetitive behaviors preference for routines,Autism
redness cracking at the corners of the mouth difficulty swallowing altered taste soreness,Oral Thrush in Adults
daytime fatigue Difficulty falling asleep non-refreshing sleep low energy reduced productivity irritability,Insomnia
fatigue in some cases a noticeable pelvic mass persistent bloating irregular periods urinary urgency or frequency abdominal swelling back pain feeling full quickly unexplained weight changes Abdominal or pelvic pain,Ovarian Cancer in Teenagers and Young Adults (Pre-Menopause)
in severe cases heart attack or stroke shortness of breath fatigue leg pain while walking numbness or weakness high blood pressure Often no symptoms until arteries are significantly narrowed; possible chest pain,Atherosclerosis
headache Fatigue dizziness nausea weakness pale skin,Iron Deficiency Anemia
passing grape-like cysts Vaginal bleeding in early pregnancy,Molar Pregnancy
foul taste in mouth swelling of gums or face Severe toothache fever,Dental Abscess
fever frequent infections fatigue,Non-Hodgkin Lymphoma
heat intolerance muscle weakness increased sweating menstrual irregularities trouble sleeping frequent bowel movements fatigue tremors rapid heartbeat Unintentional weight loss,Overactive Thyroid (Hyperthyroidism)
soles nerves or anus swollen lymph nodes,Syphilis
sweating feeling out of control rapid heartbeat Intense fear or anxiety triggered by a specific object trembling shortness of breath,Phobia
hormonal symptoms like acne or excessive hair growth irregular periods erectile dysfunction or ejaculation issues in males very painful periods Inability to conceive after 12 months of regular unprotected intercourse,Infertility
vomiting fever,Dysentery
grinding or cracking sounds in joints pain worsening with movement or after long activity Joint pain swelling reduced flexibility stiffness,Osteoarthritis
mood changes such as depression or anxiety slow movements soft or slurred speech muscle stiffness shuffling gait,Parkinson’s Disease
fatigue loss of appetite,Pancreatic Cancer
persistent cough especially at night shortness of breath fatigue during play frequent respiratory infections,Asthma in Children
Left-sided eye pain pain around the left frontal region possible nasal congestion tenderness over the frontal sinus,Frontal Sinusitis
a feeling of something stuck in the throat Bad breath swollen tonsils sore throat metallic taste difficulty swallowing,Tonsil Stones
Foot turned inward or outward at birth flexible foot position no pain,Positional Talipes in Children and Young People
stiffness (especially in the morning) Joint pain fatigue weakness symmetrical joint involvement swelling warmth around joints reduced range of motion,Rheumatoid Arthritis
itching silvery-white flakes Red flaky scales on the scalp causing itching or dandruff-like appearance,Skin and Scalp Psoriasis
irritability trouble sleeping Unintentional weight loss tremors rapid heartbeat increased sweating fatigue frequent bowel movements nervousness heat intolerance,Overactive Thyroid (Hyperthyroidism)
daytime sleepiness choking or gasping at night episodes of stopped breathing during sleep,Obstructive Sleep Apnoea (OSA)
feeling full quickly back pain persistent bloating in some cases a noticeable pelvic mass fatigue,Ovarian Cancer in Teenagers and Young Adults (Pre-Menopause)
Fatigue breathing difficulty cough rash or underlying conditions causing high eosinophil levels symptoms related to allergies abdominal pain infections,Eosinophilia
scaly patches on the skin thickened nails burning sensation silvery-white flakes itching flaky scales on the scalp causing itching or dandruff-like appearance Red,Skin and Scalp Psoriasis
Temporary inability to move or speak upon waking or falling asleep feeling awake but unable to move,Sleep Paralysis
genitals itching or burning sensation swollen lymph nodes or anus tingling before outbreaks Painful blisters or sores on the lips mouth body aches during initial infection,Herpes
hormonal symptoms like rapid heartbeat or sweating flushing of the skin sometimes no symptoms in early stages Abdominal pain,Neuroendocrine Tumours (NETs)
Red or pink patches on the skin occasional burning sensation rough or scaly texture dryness irritation mild itching small raised bumps,Eczema (Atopic Dermatitis)
runny or stuffy nose sore throat Fever fatigue general weakness,COVID-19
palpitations swelling in legs,Inherited Heart Conditions
sensitivity to light nausea sound usually on one side dizziness visual disturbances Throbbing or pulsating headache vomiting fatigue,Migraine
progressive weakness in eyelid Drooping eyelids choking while eating nasal-sounding voice limb weakness in later stages throat muscles,Oculopharyngeal Muscular Dystrophy (OPMD)
erectile dysfunction or ejaculation issues in males Inability to conceive after 12 months of regular unprotected intercourse reduced sexual desire irregular periods very painful periods hormonal symptoms like acne or excessive hair growth,Infertility
fractures from minor injuries Bone pain (often worsening at night) reduced movement swelling near a bone or joint unexplained limp,Osteosarcoma
small red bumps or blisters rash in finger webs Intense itching,Scabies
palpitations sometimes swelling in legs or abdomen fatigue shortness of breath,Pericarditis
swollen eyelids watery or sticky discharge Redness of eyes sensitivity to light blurred vision,Conjunctivitis
general weakness diarrhea sore throat headache Fever shortness of breath muscle aches runny or stuffy nose,COVID-19
goes depending on the cause diarrhea vomiting Cramping,Stomach Ache and Abdominal Pain
increasing size New or changing moles or dark streaks under nails itching multiple or uneven colours,Skin Cancer (Melanoma)
rapid heartbeat dizziness Fatigue poor concentration feet weakness headaches brittle nails pale skin shortness of breath cold hands,Iron Deficiency Anemia
coughing or breathing difficulty frequent infections weight loss fatigue night sweats Painless swollen lymph nodes fever,Non-Hodgkin Lymphoma in Children
headache difficulty chewing or swallowing,Mumps
swollen lymph nodes sore throat headaches worsening of symptoms after physical or mental activity muscle or joint pain dizziness unrefreshing sleep memory or concentration problems Persistent severe fatigue lasting more than 6 months,Chronic Fatigue Syndrome (CFS)
sugar in urine during tests increased hunger blurred vision Increased thirst,Diabetes in Pregnancy
lower back pain vomiting headache fatigue diarrhea Cramping pain in the lower abdomen pain that may radiate to the thighs nausea,Dysmenorrhea
difficulty lifting arms general feeling of illness hips stiffness in the shoulders neck Aching reduced range of motion mild fever especially in the morning fatigue,Polymyalgia Rheumatica (PMR)
fatigue during allergy exposure Sneezing,Allergic Rhinitis
tenderness Joint pain morning stiffness swelling swollen fingers or toes (dactylitis),Psoriatic Arthritis
shortness of breath runny or stuffy nose cough muscle aches diarrhea headache sore throat fatigue loss of smell or taste general weakness,COVID-19
scaly or flaky patches Red in some cases foul odor in moist areas burning sensation,Fungal Skin Infections
fever headache difficulty chewing or swallowing painful salivary glands (usually parotid) loss of appetite fatigue muscle aches,Mumps
in severe cases weakness in the legs Lower back pain muscle tightness stiffness numbness or tingling pain radiating to the buttocks or legs difficulty standing or walking for long periods,Spondylolisthesis
headache hot dry skin or heavy sweating High body temperature dizziness,Heatstroke and Heat Illness
shortness of breath but may include headaches chest discomfort blurred vision fatigue sometimes nosebleeds Often no symptoms,High Blood Pressure (Hypertension)
fatigue chest pain while breathing or coughing chills Fever rapid breathing,Pneumonia
shortness of breath dizziness,High Blood Pressure (Hypertension)
anxiety excessive worries need for order or symmetry,Obsessive Compulsive Disorder (OCD)
difficulty walking delayed motor milestones in children breathing or heart issues in advanced stages enlarged calf muscles Progressive muscle weakness,Muscular Dystrophy
rapid heartbeat rapid breathing clammy skin confusion or disorientation Very low blood pressure reduced urine output,Septic Shock
Usually no symptoms; in severe cases may cause xanthomas or signs of cardiovascular disease,High Cholesterol
hoarseness chest pain fatigue Persistent cough shortness of breath wheezing recurrent lung infections coughing up blood,Lung Cancer
itchy or watery eyes fatigue during allergy exposure Sneezing post-nasal drip,Allergic Rhinitis
Irregular or rapid heartbeat fatigue lightheadedness palpitations chest discomfort,Atrial Fibrillation
foamy urine loss of appetite difficulty concentrating Fatigue nausea swelling in legs or ankles muscle cramps high blood pressure reduced urine output,Chronic Kidney Disease
Repeated pregnancy losses before 20 weeks vaginal bleeding during pregnancy emotional distress such as anxiety or grief,Recurrent Miscarriage
Fatigue nausea loss of appetite yellowing of skin or eyes (jaundice) abdominal pain vomiting fever pale stools,Hepatitis
passing tissue or clots contractions Heavy vaginal bleeding,Late Miscarriage
Painless or painful growing lump swelling in arms limited movement of the affected area legs or trunk persistent pain fatigue,Soft Tissue Sarcomas in Teenagers and Young Adults
impulsive behaviour problems at work or social situations trouble coping with stress causing difficulty in relationships,Personality Disorder
redness or swelling of eyes swelling ankles painful urination Joint pain lower back pain,Reactive Arthritis
cognitive difficulties bladder problems,Multiple Sclerosis (MS)
Fatigue poor concentration rapid heartbeat,Iron Deficiency Anemia
repetitive questions in some cases emotional distress or changes in behavior disorientation Memory loss difficulty recalling recent events inability to form new memories confusion,Amnesia
chest pain or cough unexplained weight loss abdominal swelling or discomfort fatigue,Non-Hodgkin Lymphoma
large amounts of mucus shortness of breath fatigue,Bronchiectasis
difficulty sleeping temporary relief with movement Uncomfortable sensations in the legs,Restless Legs Syndrome
persistent lower back or side pain fever fatigue abdominal mass,Kidney Cancer
light bleeding at the start or end of a period sometimes mild odor depending on the cause Brown or dark vaginal discharge spotting between periods,Brown Discharge
signs of dehydration such as dry mouth or dizziness nausea bloating fever Watery diarrhoea,Gastroenteritis
fatigue unexplained limp Bone pain (often worsening at night) fractures from minor injuries reduced movement,Osteosarcoma
trouble completing familiar tasks confusion about time or place difficulty planning or solving problems Memory loss,Alzheimer’s Disease
cold clammy skin reduced urine output extreme weakness high or very low fever rapid heartbeat rapid breathing Very low blood pressure confusion or disorientation symptoms of severe infection,Septic Shock
flushing acne-like bumps eye irritation dry or sensitive skin visible blood vessels thickened skin in severe cases,Rosacea
sleep problems low energy Excess body weight difficulty with physical activity rapid weight gain,Obesity in Children
